iter	Passed	Remaining
0	22	22085
1	39	19804
2	56	18911
3	74	18451
4	91	18162
5	108	17975
6	126	17999
7	145	18050
8	163	17950
9	180	17888
10	197	17792
11	215	17728
12	232	17625
13	250	17611
14	267	17595
15	284	17516
16	302	17482
17	319	17451
18	337	17421
19	355	17397
20	372	17354
21	389	17331
22	407	17300
23	424	17272
24	441	17224
25	459	17210
26	476	17183
27	493	17114
28	511	17134
29	528	17103
30	546	17081
31	564	17068
32	581	17031
33	598	17001
34	615	16976
35	633	16961
36	650	16927
37	668	16917
38	686	16914
39	703	16872
40	721	16865
41	739	16876
42	757	16854
43	775	16846
44	793	16844
45	811	16825
46	829	16819
47	847	16802
48	865	16795
49	883	16790
50	901	16782
51	921	16793
52	938	16770
53	956	16750
54	973	16732
55	991	16720
56	1009	16699
57	1028	16707
58	1045	16680
59	1063	16668
60	1081	16653
61	1099	16640
62	1117	16622
63	1136	16618
64	1154	16609
65	1172	16595
66	1191	16585
67	1208	16564
68	1226	16546
69	1243	16522
70	1260	16494
71	1278	16479
72	1295	16449
73	1311	16411
74	1327	16375
75	1357	16499
76	1373	16469
77	1391	16453
78	1410	16438
79	1427	16416
80	1445	16399
81	1463	16389
82	1483	16384
83	1501	16369
84	1519	16352
85	1536	16331
86	1554	16314
87	1574	16312
88	1592	16296
89	1609	16271
90	1626	16244
91	1643	16217
92	1659	16187
93	1676	16161
94	1695	16148
95	1713	16135
96	1733	16135
97	1751	16117
98	1769	16100
99	1787	16084
100	1805	16068
101	1823	16057
102	1841	16040
103	1859	16020
104	1875	15989
105	1892	15962
106	1909	15935
107	1925	15903
108	1941	15874
109	1959	15850
110	1975	15825
111	1992	15799
112	2010	15781
113	2026	15749
114	2042	15720
115	2059	15693
116	2076	15670
117	2093	15647
118	2111	15634
119	2129	15619
120	2148	15605
121	2166	15591
122	2185	15580
123	2203	15563
124	2220	15542
125	2238	15526
126	2257	15517
127	2275	15498
128	2291	15470
129	2308	15449
130	2326	15430
131	2343	15412
132	2360	15389
133	2378	15371
134	2395	15349
135	2412	15324
136	2428	15297
137	2443	15265
138	2459	15237
139	2477	15217
140	2494	15194
141	2511	15174
142	2527	15150
143	2544	15128
144	2562	15110
145	2580	15095
146	2599	15082
147	2617	15066
148	2636	15056
149	2653	15034
150	2670	15012
151	2688	14998
152	2705	14979
153	2723	14960
154	2741	14948
155	2760	14933
156	2777	14914
157	2795	14895
158	2813	14880
159	2829	14857
160	2847	14840
161	2865	14822
162	2883	14804
163	2899	14781
164	2916	14756
165	2933	14739
166	2949	14710
167	2965	14688
168	2981	14662
169	3000	14649
170	3018	14633
171	3034	14610
172	3051	14585
173	3067	14563
174	3083	14537
175	3099	14513
176	3117	14496
177	3133	14472
178	3150	14448
179	3166	14423
180	3182	14399
181	3198	14377
182	3214	14353
183	3232	14333
184	3249	14317
185	3267	14298
186	3283	14276
187	3301	14257
188	3319	14243
189	3336	14224
190	3353	14205
191	3371	14188
192	3389	14173
193	3406	14151
194	3422	14127
195	3440	14111
196	3457	14092
197	3473	14068
198	3490	14050
199	3508	14032
200	3525	14013
201	3542	13996
202	3561	13982
203	3579	13966
204	3597	13950
205	3615	13936
206	3634	13924
207	3652	13906
208	3670	13889
209	3687	13872
210	3706	13858
211	3724	13844
212	3744	13834
213	3762	13821
214	3782	13811
215	3801	13797
216	3820	13785
217	3838	13770
218	3857	13758
219	3876	13743
220	3894	13729
221	3913	13714
222	3933	13704
223	3950	13685
224	3972	13683
225	3989	13664
226	4008	13649
227	4027	13636
228	4045	13621
229	4064	13606
230	4082	13591
231	4102	13579
232	4120	13563
233	4139	13551
234	4157	13535
235	4176	13520
236	4194	13504
237	4212	13487
238	4231	13472
239	4248	13453
240	4265	13434
241	4283	13416
242	4301	13399
243	4319	13383
244	4338	13368
245	4355	13351
246	4373	13331
247	4391	13316
248	4410	13301
249	4427	13283
250	4445	13266
251	4462	13246
252	4480	13228
253	4497	13208
254	4514	13189
255	4532	13172
256	4549	13152
257	4567	13136
258	4587	13124
259	4605	13107
260	4623	13091
261	4641	13075
262	4659	13056
263	4676	13038
264	4695	13022
265	4713	13005
266	4731	12990
267	4749	12971
268	4766	12953
269	4784	12934
270	4802	12918
271	4819	12899
272	4837	12881
273	4853	12860
274	4872	12845
275	4890	12828
276	4909	12813
277	4926	12793
278	4943	12775
279	4960	12756
280	4978	12739
281	4997	12724
282	5014	12705
283	5032	12687
284	5050	12671
285	5068	12653
286	5085	12635
287	5104	12619
288	5122	12602
289	5141	12586
290	5158	12568
291	5177	12552
292	5196	12538
293	5215	12523
294	5233	12507
295	5251	12489
296	5269	12472
297	5287	12455
298	5304	12436
299	5323	12420
300	5341	12404
301	5359	12386
302	5376	12367
303	5393	12348
304	5412	12332
305	5430	12315
306	5448	12299
307	5466	12282
308	5484	12265
309	5501	12246
310	5519	12226
311	5535	12207
312	5553	12188
313	5570	12169
314	5588	12152
315	5604	12131
316	5622	12113
317	5638	12093
318	5654	12072
319	5672	12054
320	5695	12046
321	5713	12030
322	5730	12009
323	5747	11992
324	5765	11973
325	5783	11958
326	5801	11940
327	5817	11919
328	5835	11901
329	5852	11883
330	5867	11859
331	5884	11840
332	5900	11818
333	5917	11800
334	5935	11782
335	5953	11765
336	5971	11748
337	5989	11730
338	6006	11711
339	6023	11692
340	6045	11682
341	6061	11661
342	6078	11642
343	6095	11623
344	6112	11605
345	6129	11586
346	6147	11568
347	6164	11549
348	6181	11530
349	6198	11511
350	6215	11492
351	6232	11473
352	6248	11452
353	6264	11431
354	6281	11412
355	6298	11393
356	6314	11373
357	6332	11356
358	6350	11338
359	6367	11320
360	6384	11300
361	6401	11281
362	6418	11263
363	6436	11246
364	6454	11228
365	6470	11208
366	6486	11187
367	6502	11168
368	6520	11150
369	6538	11132
370	6555	11114
371	6573	11097
372	6589	11076
373	6605	11057
374	6629	11048
375	6644	11027
376	6661	11008
377	6678	10988
378	6693	10967
379	6709	10947
380	6727	10929
381	6744	10910
382	6761	10892
383	6778	10874
384	6795	10855
385	6811	10835
386	6828	10816
387	6845	10797
388	6861	10777
389	6878	10759
390	6895	10740
391	6912	10720
392	6927	10700
393	6947	10686
394	6966	10669
395	6985	10654
396	7002	10635
397	7019	10617
398	7036	10599
399	7053	10580
400	7070	10561
401	7087	10542
402	7103	10523
403	7121	10506
404	7139	10489
405	7157	10471
406	7173	10452
407	7190	10433
408	7207	10414
409	7224	10395
410	7240	10376
411	7258	10358
412	7274	10339
413	7290	10319
414	7306	10300
415	7323	10280
416	7339	10261
417	7356	10242
418	7373	10224
419	7390	10205
420	7407	10187
421	7423	10167
422	7440	10149
423	7458	10132
424	7475	10113
425	7491	10094
426	7507	10074
427	7523	10054
428	7538	10034
429	7555	10015
430	7572	9997
431	7590	9979
432	7606	9960
433	7622	9941
434	7639	9923
435	7655	9903
436	7673	9886
437	7690	9867
438	7707	9849
439	7724	9830
440	7739	9810
441	7756	9791
442	7773	9773
443	7789	9754
444	7807	9737
445	7825	9720
446	7841	9700
447	7857	9682
448	7875	9664
449	7892	9646
450	7909	9628
451	7927	9610
452	7943	9591
453	7960	9573
454	7979	9557
455	7996	9539
456	8013	9521
457	8029	9501
458	8046	9483
459	8063	9465
460	8080	9447
461	8097	9429
462	8114	9410
463	8131	9392
464	8148	9374
465	8165	9356
466	8182	9339
467	8200	9321
468	8216	9302
469	8227	9278
470	8243	9259
471	8259	9239
472	8275	9220
473	8291	9201
474	8307	9182
475	8324	9164
476	8341	9146
477	8359	9128
478	8376	9110
479	8392	9091
480	8409	9073
481	8425	9054
482	8442	9036
483	8458	9017
484	8473	8997
485	8490	8979
486	8507	8961
487	8523	8942
488	8540	8924
489	8556	8905
490	8572	8886
491	8589	8868
492	8605	8849
493	8621	8830
494	8637	8812
495	8654	8793
496	8671	8776
497	8688	8757
498	8706	8741
499	8723	8723
500	8740	8705
501	8756	8686
502	8773	8668
503	8789	8649
504	8805	8630
505	8821	8612
506	8838	8594
507	8856	8577
508	8874	8560
509	8891	8542
510	8909	8525
511	8925	8506
512	8941	8488
513	8959	8471
514	8981	8458
515	9010	8451
516	9040	8445
517	9067	8437
518	9088	8423
519	9108	8408
520	9130	8394
521	9150	8379
522	9170	8364
523	9189	8347
524	9209	8331
525	9228	8316
526	9247	8299
527	9266	8283
528	9283	8265
529	9303	8249
530	9322	8233
531	9343	8219
532	9362	8203
533	9382	8188
534	9404	8173
535	9423	8157
536	9443	8141
537	9462	8125
538	9481	8109
539	9501	8093
540	9522	8078
541	9542	8063
542	9561	8047
543	9579	8029
544	9597	8012
545	9614	7994
546	9631	7976
547	9649	7959
548	9667	7942
549	9685	7924
550	9702	7906
551	9720	7889
552	9738	7871
553	9755	7854
554	9773	7836
555	9790	7818
556	9807	7800
557	9825	7783
558	9843	7765
559	9861	7748
560	9879	7730
561	9896	7713
562	9912	7694
563	9930	7676
564	9947	7658
565	9967	7643
566	9986	7626
567	10004	7609
568	10022	7591
569	10040	7574
570	10058	7557
571	10074	7538
572	10092	7521
573	10110	7503
574	10128	7486
575	10144	7467
576	10163	7450
577	10180	7433
578	10199	7416
579	10217	7398
580	10235	7381
581	10253	7364
582	10271	7346
583	10287	7328
584	10305	7310
585	10322	7292
586	10341	7276
587	10359	7258
588	10376	7240
589	10395	7223
590	10413	7206
591	10432	7190
592	10450	7172
593	10469	7155
594	10486	7138
595	10506	7121
596	10523	7104
597	10539	7084
598	10556	7067
599	10573	7048
600	10589	7030
601	10607	7012
602	10624	6994
603	10640	6976
604	10656	6957
605	10673	6939
606	10689	6920
607	10705	6902
608	10722	6884
609	10740	6866
610	10758	6849
611	10775	6831
612	10793	6813
613	10812	6797
614	10833	6781
615	10853	6765
616	10873	6749
617	10892	6732
618	10909	6714
619	10927	6697
620	10943	6679
621	10960	6660
622	10974	6641
623	10989	6622
624	11006	6603
625	11021	6585
626	11039	6567
627	11055	6548
628	11070	6529
629	11086	6511
630	11101	6492
631	11118	6474
632	11134	6455
633	11151	6437
634	11168	6419
635	11185	6401
636	11202	6383
637	11219	6366
638	11236	6348
639	11252	6329
640	11269	6311
641	11286	6293
642	11303	6275
643	11320	6257
644	11337	6240
645	11353	6221
646	11369	6203
647	11384	6184
648	11400	6166
649	11417	6148
650	11435	6130
651	11450	6111
652	11466	6093
653	11481	6074
654	11498	6056
655	11514	6038
656	11530	6019
657	11548	6002
658	11574	5989
659	11590	5970
660	11607	5953
661	11622	5934
662	11638	5915
663	11654	5897
664	11671	5879
665	11688	5861
666	11704	5843
667	11722	5826
668	11738	5808
669	11755	5790
670	11771	5771
671	11789	5754
672	11806	5736
673	11820	5717
674	11835	5698
675	11852	5680
676	11868	5662
677	11885	5644
678	11901	5626
679	11918	5608
680	11934	5590
681	11953	5573
682	11970	5555
683	11985	5537
684	12000	5518
685	12015	5499
686	12030	5480
687	12045	5462
688	12061	5444
689	12075	5425
690	12090	5406
691	12104	5387
692	12119	5368
693	12134	5350
694	12149	5331
695	12164	5313
696	12181	5295
697	12198	5277
698	12214	5259
699	12231	5242
700	12247	5223
701	12263	5206
702	12280	5188
703	12297	5170
704	12314	5152
705	12329	5134
706	12345	5116
707	12360	5097
708	12374	5079
709	12391	5061
710	12405	5042
711	12420	5023
712	12436	5006
713	12451	4987
714	12466	4969
715	12481	4950
716	12497	4932
717	12513	4914
718	12530	4897
719	12545	4878
720	12560	4860
721	12575	4841
722	12589	4823
723	12603	4804
724	12621	4787
725	12635	4768
726	12650	4750
727	12664	4731
728	12681	4714
729	12697	4696
730	12714	4678
731	12729	4660
732	12744	4642
733	12759	4623
734	12774	4605
735	12790	4587
736	12805	4569
737	12821	4551
738	12836	4533
739	12852	4515
740	12866	4497
741	12881	4479
742	12896	4460
743	12912	4443
744	12927	4424
745	12943	4406
746	12958	4388
747	12973	4370
748	12987	4352
749	13002	4334
750	13017	4315
751	13032	4298
752	13047	4279
753	13064	4262
754	13080	4244
755	13097	4227
756	13114	4209
757	13129	4191
758	13145	4174
759	13166	4157
760	13182	4140
761	13197	4122
762	13212	4104
763	13227	4085
764	13242	4067
765	13256	4049
766	13271	4031
767	13287	4013
768	13302	3995
769	13318	3978
770	13335	3960
771	13350	3942
772	13368	3925
773	13387	3908
774	13404	3891
775	13422	3874
776	13441	3857
777	13465	3842
778	13485	3825
779	13506	3809
780	13526	3792
781	13545	3776
782	13565	3759
783	13584	3742
784	13605	3726
785	13627	3710
786	13648	3693
787	13667	3677
788	13685	3659
789	13702	3642
790	13717	3624
791	13733	3606
792	13750	3589
793	13772	3573
794	13787	3555
795	13803	3537
796	13818	3519
797	13834	3501
798	13850	3484
799	13865	3466
800	13882	3448
801	13898	3431
802	13914	3413
803	13930	3396
804	13948	3378
805	13967	3361
806	13983	3344
807	13999	3326
808	14015	3309
809	14032	3291
810	14050	3274
811	14068	3257
812	14085	3239
813	14103	3222
814	14121	3205
815	14139	3188
816	14156	3170
817	14174	3153
818	14194	3136
819	14212	3119
820	14229	3102
821	14244	3084
822	14260	3067
823	14276	3049
824	14293	3031
825	14308	3014
826	14326	2996
827	14343	2979
828	14361	2962
829	14379	2945
830	14395	2927
831	14412	2910
832	14429	2892
833	14447	2875
834	14462	2857
835	14480	2840
836	14496	2823
837	14515	2806
838	14533	2788
839	14551	2771
840	14569	2754
841	14587	2737
842	14603	2719
843	14618	2701
844	14636	2684
845	14653	2667
846	14669	2649
847	14687	2632
848	14703	2615
849	14720	2597
850	14735	2580
851	14749	2562
852	14767	2544
853	14784	2527
854	14799	2509
855	14815	2492
856	14830	2474
857	14846	2457
858	14864	2439
859	14881	2422
860	14895	2404
861	14914	2387
862	14930	2370
863	14947	2352
864	14964	2335
865	14981	2318
866	14998	2300
867	15016	2283
868	15033	2266
869	15050	2248
870	15067	2231
871	15085	2214
872	15102	2197
873	15120	2179
874	15137	2162
875	15154	2145
876	15169	2127
877	15184	2109
878	15200	2092
879	15217	2075
880	15234	2057
881	15248	2040
882	15263	2022
883	15279	2005
884	15296	1987
885	15313	1970
886	15330	1953
887	15346	1935
888	15362	1918
889	15379	1900
890	15395	1883
891	15411	1865
892	15428	1848
893	15445	1831
894	15461	1813
895	15478	1796
896	15493	1779
897	15508	1761
898	15524	1744
899	15541	1726
900	15559	1709
901	15575	1692
902	15591	1674
903	15609	1657
904	15623	1640
905	15637	1622
906	15652	1604
907	15667	1587
908	15682	1569
909	15696	1552
910	15711	1534
911	15739	1518
912	15755	1501
913	15771	1484
914	15786	1466
915	15801	1449
916	15816	1431
917	15830	1414
918	15845	1396
919	15862	1379
920	15879	1362
921	15895	1344
922	15912	1327
923	15929	1310
924	15947	1293
925	15964	1275
926	15981	1258
927	15999	1241
928	16014	1223
929	16032	1206
930	16048	1189
931	16063	1171
932	16078	1154
933	16093	1137
934	16108	1119
935	16126	1102
936	16141	1085
937	16156	1067
938	16171	1050
939	16186	1033
940	16201	1015
941	16216	998
942	16233	981
943	16248	963
944	16265	946
945	16281	929
946	16296	912
947	16312	894
948	16328	877
949	16343	860
950	16358	842
951	16384	826
952	16400	808
953	16417	791
954	16433	774
955	16448	757
956	16463	739
957	16480	722
958	16496	705
959	16513	688
960	16531	670
961	16546	653
962	16563	636
963	16578	619
964	16593	601
965	16608	584
966	16623	567
967	16640	550
968	16656	532
969	16672	515
970	16687	498
971	16704	481
972	16719	463
973	16734	446
974	16749	429
975	16766	412
976	16781	395
977	16795	377
978	16811	360
979	16826	343
980	16840	326
981	16857	309
982	16872	291
983	16888	274
984	16902	257
985	16919	240
986	16935	223
987	16951	205
988	16967	188
989	16983	171
990	16998	154
991	17014	137
992	17027	120
993	17045	102
994	17059	85
995	17075	68
996	17092	51
997	17108	34
998	17125	17
999	17139	0
